Time,Pitch (x),Yaw (y),Roll (z)
18.67,5.9618444,12.729402,7.3752627
18.72,5.97244,12.722067,7.390748
18.77,5.988755,12.732672,7.394011
18.81,5.9944553,12.75303,7.4192553
18.86,6.0066776,12.764438,7.4331074
18.91,6.0229783,12.770958,7.446148
18.95,6.029498,12.778293,7.4534826
19,6.032758,12.792964,7.4697843
19.03,6.058837,12.819858,7.489343
19.09,6.0718946,12.827203,7.4909754
19.14,6.0727086,12.83697,7.494231
19.19,6.0930934,12.846755,7.4991236
19.24,6.102871,12.855718,7.5007534
19.27,6.1338334,12.889125,7.51379
19.33,6.135463,12.887495,7.51705
19.38,6.150962,12.880154,7.5366273
19.42,6.1615605,12.892383,7.547226
19.45,6.181097,12.908663,7.552924
19.5,6.188432,12.927408,7.5667796
19.56,6.2014723,12.926593,7.5675945
19.61,6.210437,12.931482,7.5936737
19.64,6.207167,12.938022,7.6051173
19.69,6.2382813,12.954841,7.633709
19.74,6.2540545,12.969037,7.643173
19.8,6.2548695,12.971481,7.667614
19.84,6.2727704,12.990196,7.6668005
19.88,6.2931385,13.012194,7.670059
19.92,6.304548,13.005674,7.6798387
19.97,6.3200364,13.012196,7.6904364
20.03,6.344539,13.015463,7.725557
20.06,6.3600645,13.020366,7.714117
20.11,6.3803353,13.042258,7.7076306
20.16,6.395827,13.05775,7.7263837
20.21,6.4007154,13.080564,7.732087
20.27,6.391741,13.091169,7.743509
20.3,6.4031425,13.123746,7.7606115
20.34,6.4227037,13.126191,7.780988
20.39,6.433299,13.118856,7.8062534
20.45,6.461865,13.128651,7.8217607
20.49,6.475761,13.129468,7.85037
20.53,6.4903603,13.126224,7.8568587
20.58,6.4871,13.106664,7.8764186
20.63,6.4805803,13.117258,7.905758
20.69,6.504217,13.114813,7.941621
20.72,6.517258,13.117258,7.9530315
20.77,6.5302963,13.127036,7.96281
20.81,6.5213313,13.139261,7.973405
20.86,6.533557,13.149857,7.9872603
20.89,6.5490437,13.13763,8.000301
20.95,6.5506725,13.157992,8.02718
21,6.558827,13.1637,8.036149
21.05,6.5645323,13.166961,8.04919
21.09,6.5792036,13.167776,8.0630455
21.14,6.5889835,13.188151,8.0769005
21.19,6.60285,13.213437,8.080978
21.24,6.58492,13.210177,8.088313
21.28,6.5987625,13.208549,8.10297
21.31,6.6199527,13.210178,8.107045
21.38,6.6248426,13.224848,8.09319
21.42,6.6411433,13.228923,8.124161
21.47,6.6656027,13.237076,8.136391
21.51,6.6590533,13.256723,8.148671
21.55,6.6793303,13.259968,8.152726
21.61,6.6899257,13.263227,8.182067
21.66,6.715186,13.278709,8.201623
21.71,6.7339315,13.277894,8.213848
21.74,6.7298565,13.3047905,8.225259
21.78,6.734761,13.308878,8.252235
21.84,6.7436986,13.321066,8.266861
21.89,6.757571,13.32841,8.287262
21.94,6.751049,13.333302,8.306014
21.97,6.778748,13.347151,8.318234
22.01,6.7999372,13.353671,8.345943
22.08,6.8023825,13.344706,8.384251
22.13,6.8113384,13.359361,8.414375
22.16,6.822747,13.368325,8.452677
22.21,6.8447533,13.375661,8.467347
22.25,6.8577933,13.395221,8.4640875
22.31,6.8781853,13.387879,8.486111
22.34,6.867598,13.3862505,8.514615
22.39,6.8847136,13.38951,8.517875
22.44,6.8953123,13.420491,8.526028
22.5,6.9075313,13.418862,8.530915
22.55,6.9156837,13.413971,8.573309
22.58,6.9246473,13.445751,8.594496
22.63,6.929558,13.460483,8.634599
22.67,6.939296,13.4742775,8.625672
22.74,6.9409256,13.484873,8.641158
22.77,6.9555955,13.483243,8.665607
22.81,6.9841223,13.490579,8.675388
22.86,6.9833074,13.511768,8.702283
22.91,6.990643,13.5101385,8.692502
22.97,7.0191703,13.520735,8.715323
23,7.0460725,13.514213,8.712063
23.05,7.0534043,13.518286,8.712877
23.09,7.0346565,13.51258,8.735701
23.14,7.024877,13.52236,8.746295
23.19,7.0297737,13.507669,8.770779
23.24,7.045243,13.494643,8.793575
23.28,7.0599074,13.515825,8.8188305
23.33,7.04442,13.532128,8.84899
23.38,7.0509458,13.525602,8.850622
23.42,7.072116,13.526417,8.864464
23.47,7.08597,13.529676,8.875058
23.51,7.0965605,13.550042,8.906014
23.56,7.1055303,13.567982,8.941079
23.59,7.10879,13.578576,8.947598
23.66,7.11205,13.580206,8.967974
23.71,7.098128,13.554,8.995818
23.75,7.090017,13.541834,9.033939
23.8,7.0997963,13.547539,9.064093
23.83,7.1071324,13.550799,9.057571
23.89,7.112838,13.539389,9.054312
23.94,7.106316,13.56629,9.073876
23.99,7.113655,13.564659,9.095894
24.01,7.1169143,13.568733,9.109746
24.06,7.1275487,13.577732,9.129379
24.13,7.142155,13.607757,9.148044
24.17,7.13482,13.635467,9.1537485
24.22,7.1470437,13.633837,9.171677
24.25,7.16416,13.650138,9.182272
24.3,7.1690497,13.641988,9.206723
24.36,7.1714945,13.654213,9.210798
24.41,7.200836,13.676219,9.218948
24.44,7.22124,13.678667,9.224662
24.49,7.2310057,13.69413,9.244193
24.53,7.239971,13.703911,9.245008
24.59,7.235896,13.708801,9.244193
24.64,7.240786,13.710431,9.262938
24.67,7.244046,13.721841,9.283313
24.72,7.2579007,13.732435,9.304502
24.78,7.253823,13.737329,9.333048
24.83,7.272566,13.765036,9.339567
24.86,7.2962003,13.796004,9.384391
24.91,7.3051624,13.805781,9.410462
24.95,7.3206444,13.795189,9.421055
25.01,7.3214593,13.806599,9.429205
25.05,7.3239045,13.820456,9.447952
25.09,7.3524294,13.82616,9.455287
25.14,7.372802,13.852238,9.468326
25.19,7.3899984,13.841592,9.489616
25.25,7.398124,13.848092,9.502618
25.28,7.415224,13.857863,9.534374
25.33,7.4404693,13.86845,9.549847
25.38,7.4315047,13.857041,9.580814
25.42,7.43721,13.861932,9.59793
25.47,7.43884,13.8692665,9.61912
25.51,7.470645,13.874975,9.63543
25.56,7.4853067,13.887194,9.657423
25.61,7.4910116,13.891269,9.660683
25.66,7.4901967,13.904309,9.674539
25.71,7.512201,13.915719,9.698173
25.75,7.5130157,13.937724,9.715287
25.8,7.530947,13.947505,9.75278
25.84,7.538282,13.949135,9.7755995
25.88,7.563547,13.94669,9.79842
25.94,7.569252,13.9662485,9.815534
25.99,7.5871835,13.9841795,9.816349
26.03,7.594518,14.017594,9.803309
26.08,7.602669,14.016779,9.823686
26.11,7.6108184,14.032264,9.83591
26.17,7.6165233,14.049378,9.8530245
26.22,7.624674,14.054269,9.883998
26.27,7.63364,14.06242,9.898669
26.3,7.641789,14.049381,9.933711
26.34,7.6597204,14.052642,9.955718
26.41,7.6621656,14.091763,9.972018
26.45,7.6898756,14.103172,9.999728
26.5,7.6915054,14.111322,10.012768
26.53,7.707,14.115399,10.030708
26.58,7.72492,14.121916,10.047813
26.64,7.730625,14.117841,10.070634
26.69,7.7322555,14.116211,10.108943
26.72,7.7314405,14.143103,10.131761
26.77,7.737961,14.155328,10.141541
26.83,7.742036,14.168368,10.158656
26.88,7.7493706,14.174073,10.174141
26.92,7.760781,14.1667385,10.180661
26.95,7.759966,14.172443,10.198591
27,7.7819715,14.188744,10.219782
27.06,7.7950115,14.210749,10.248306
27.11,7.81954,14.224648,10.264659
27.14,7.839854,14.237649,10.2792845
27.19,7.853728,14.254787,10.302952
27.24,7.8781414,14.275946,10.333062
27.3,7.8846664,14.300415,10.36161
27.34,7.89281,14.308558,10.372197
27.38,7.92215,14.300408,10.396647
27.42,7.9433417,14.315894,10.390127
27.47,7.9457865,14.326488,10.412128
27.53,7.961274,14.337899,10.405607
27.56,7.9726906,14.325667,10.41947
27.61,7.9775777,14.315079,10.418655
27.66,7.9816527,14.337085,10.438216
27.71,7.993878,14.346865,10.456962
27.75,8.011807,14.34279,10.490376
27.8,8.019958,14.34931,10.533574
27.84,8.046891,14.338699,10.542552
27.89,8.065609,14.325679,10.556387
27.94,8.051754,14.337903,10.592246
27.99,8.050124,14.3468685,10.613438
28.03,8.068055,14.358279,10.621588
28.08,8.093319,14.360724,10.637887
28.13,8.09658,14.3647995,10.653374
28.16,8.10636,14.368875,10.663155
28.22,8.1259165,14.380282,10.668859
28.27,8.123471,14.3925085,10.692495
28.31,8.133255,14.415337,10.690049
28.36,8.158512,14.419411,10.705529
28.39,8.168292,14.44386,10.721014
28.45,8.167477,14.46016,10.734055
28.5,8.188667,14.46179,10.756061
28.55,8.209859,14.482982,10.777252
28.58,8.2228985,14.488687,10.767472
28.63,8.214748,14.502542,10.776437
28.69,8.203339,14.500912,10.830226
28.74,8.232679,14.510692,10.856307
